collateral_ratio,spot_ratio,perp_ratio,total_return,volatility,sharpe_ratio,max_drawdown,win_rate,avg_win,avg_loss,total_funding_income_btc,final_portfolio_value_btc
0.5,0.6,0.4,-0.2006582434612536,0.06464506430873453,-0.6037278754903419,-0.25123631947411273,0.4959657983527883,0.00041433318349048075,-0.0004165570076031753,17.17812,79.93417565387463
0.5,0.66,0.33999999999999997,0.11344696479564909,0.006464506430873456,3.055020128385376,-0.008484914132219523,0.526877213571683,4.162262448065805e-05,-4.158847810876142e-05,14.601402000000002,111.3446964795649
0.5,0.7,0.30000000000000004,0.3746082832047113,0.03232253215436721,1.8233105434489172,-0.045366559845016585,0.5147431732925373,0.00020839193052982316,-0.0002071999283703978,12.88359,137.46082832047114
0.5,0.8,0.19999999999999996,1.245810974704137,0.12929012861746905,1.213519209469628,-0.2162833166418714,0.5098392606408617,0.0008325416520468313,-0.0008294619243310249,8.589059999999998,224.5810974704137
0.6,0.6,0.4,-0.23775759430935106,0.0775740771704814,-0.6037278754903417,-0.2942735388425497,0.4959657983527883,0.0004971998201885767,-0.0004998684091238103,20.613744,76.22424056906489
0.6,0.66,0.33999999999999997,0.13760519875373323,0.007757407717048111,3.055020128385399,-0.010176657328518801,0.526877213571683,4.994714937678945e-05,-4.9906173730513455e-05,17.521682400000003,113.76051987537332
0.6,0.7,0.30000000000000004,0.46392223547447853,0.03878703858524062,1.8233105434489159,-0.05427045587994961,0.5147431732925373,0.0002500703166357876,-0.0002486399140444772,15.460308000000012,146.39222354744786
0.6,0.8,0.19999999999999996,1.6115442853741926,0.15514815434096282,1.2135192094696285,-0.2551282246146205,0.5098392606408617,0.0009990499824561972,-0.0009953543091972296,10.306871999999998,261.1544285374193
0.7,0.6,0.4,-0.27379624026720983,0.09050309003222834,-0.6037278754903417,-0.335131943290219,0.4959657983527883,0.0005800664568866732,-0.0005831798106444456,24.049368000000005,72.62037597327901
0.7,0.66,0.33999999999999997,0.1622769960452084,0.009050309003222765,3.055020128385411,-0.011866651898224223,0.526877213571683,5.827167427292083e-05,-5.822386935226549e-05,20.441962800000002,116.22769960452084
0.7,0.7,0.30000000000000004,0.5586841939825009,0.04525154501611408,1.8233105434489172,-0.06311792535677774,0.5147431732925373,0.00029174870274175236,-0.0002900798997185568,18.037026000000004,155.8684193982501
0.7,0.8,0.19999999999999996,2.02577714875352,0.18100618006445668,1.213519209469629,-0.2925418907941615,0.5098392606408617,0.001165558312865564,-0.0011612466940634349,12.024683999999995,302.577714875352
0.8,0.6,0.4,-0.30876027175044396,0.10343210289397521,-0.6037278754903395,-0.3743349974705601,0.4959657983527883,0.000662933093584769,-0.0006664912121650806,27.484992,69.1239728249556
0.8,0.66,0.33999999999999997,0.18747304012989896,0.010343210289397456,3.055020128385407,-0.013554896963468122,0.526877213571683,6.659619916905244e-05,-6.654156497401779e-05,23.3622432,118.7473040129899
0.8,0.7,0.30000000000000004,0.6592022307734915,0.05171605144698758,1.8233105434489143,-0.0719089968925597,0.5147431732925373,0.00033342708884771734,-0.00033151988539263677,20.613744,165.92022307734914
0.8,0.8,0.19999999999999996,2.4929410448101192,0.20686420578795042,1.2135192094696283,-0.3285453527766151,0.5098392606408617,0.0013320666432749299,-0.0013271390789296397,13.742496,349.2941044810119
