address,eligible_ousd_value_human,ousd_compensation_human,ogn_compensation_w_interest_human,ogn_compensation_human,eligible_ousd_value,ousd_compensation,ogn_compensation
0x1974f84881Af4204a21f18c43D7c4d9Dee331Bb5,"97,215.09","25,053.77","604,568.70","483,654.96",97215092642050903900160,25053773160512725975040,483654956310577600034316
0x8e097ed5FC6B357Ff15a9a7f3D41cDF5B4a05553,"5,011.17","2,002.79","25,204.27","20,163.41",5011174949263366946816,2002793737315841736704,20163412948709954491367
0xFc1850fDd03F596867318EbD303d6256150d657e,"2,795.91","1,448.98","11,284.63","9,027.70",2795910845757201580032,1448977711439300395008,9027701972640088371474
0x17BAd8cbCDeC350958dF0Bfe01E284dd8Fec3fcD,"1,245.74","1,061.43","1,544.08","1,235.27",1245735535819017682944,1061433883954754420736,1235265763165303366005
0x3d89e78a9Feb7Be032D5aC01A10Ee2Ca97Ab35FD,"5,017.45","2,004.36","25,243.72","20,194.98",5017454359048619032576,2004363589762154758144,20194978346424023287077
